State/UTs,Total Vaccination Doses,Dose 1,Dose 2,Population
Andaman and Nicobar,612045,309208,302837,399001
Andhra Pradesh,77747824,40440493,37307331,91702478
Arunachal Pradesh,1524980,840877,684103,1711947
Assam,40574296,22317706,18256590,35998752
Bihar,108795915,60627741,48168174,128500364
Chandigarh,1926784,1075786,850998,1158040
Chhattisgarh,33023258,18372080,14651178,32199722
Dadra and Nagar Haveli and Daman and Diu,1289023,721629,567394,773997
Delhi,28676368,16224333,12452035,19301096
Goa,2507220,1339430,1167790,1521992
Gujarat,94306837,48640521,45666316,70400153
Haryana,38439572,21608623,16830949,28900667
Himachal Pradesh,11564362,5986608,5577754,7503010
Jammu and Kashmir,19748436,9864137,9884299,14999397
Jharkhand,33795401,20647401,13148000,40100376
Karnataka,93244372,49498878,43745494,69599762
Kerala,49442782,26838612,22604170,34698876
Ladakh,395798,217706,178092,290492
Lakshadweep,110293,56584,53709,66001
Madhya Pradesh,105271155,53691455,51579700,85002417
Maharashtra,145120655,83256481,61864174,124904071
Manipur,2452726,1386424,1066302,3436948
Meghalaya,2238630,1302895,935735,3772103
Mizoram,1383637,769095,614542,1308967
Nagaland,1427918,813640,614278,2073074
Odisha,55608742,30641325,24967417,47099270
Puducherry,1491490,882858,608632,1646050
Punjab,34012540,19916040,14096500,30501026
Rajasthan,90360794,49849925,40510869,79502477
Sikkim,1028515,536389,492126,658019
Tamil Nadu,91897887,52716917,39180970,83697770
Telangana,53274837,29106532,24168305,38157311
Tripura,4806897,2630439,2176458,4184959
Uttar Pradesh,255189368,149042580,106146788,231502578
Uttarakhand,15582767,8072366,7510401,11700099
West Bengal,119306246,66501084,52805162,100896618
